SUBZONE_N,BUS_TAP_IN_TAP_OUT_VOLUME_WEEKDAY_PEAK,BUS_TAP_IN_TAP_OUT_VOLUME_PEAK,BUS_TAP_IN_TAP_OUT_VOLUME_WEEKDAY,BUS_TAP_IN_TAP_OUT_VOLUME_WEEKLY,BUS_PEAK_HOUR_PERCENTAGE (%),BUS_WEEKDAY_PERCENTAGE (%),MRT_TAP_IN_TAP_OUT_VOLUME_WEEKDAY_PEAK,MRT_TAP_IN_TAP_OUT_VOLUME_PEAK,MRT_TAP_IN_TAP_OUT_VOLUME_WEEKDAY,MRT_TAP_IN_TAP_OUT_VOLUME_WEEKLY,MRT_PEAK_HOUR_PERCENTAGE (%),MRT_WEEKDAY_PERCENTAGE (%),TAP_IN_TAP_OUT_VOLUME_WEEKDAY_PEAK,TAP_IN_TAP_OUT_VOLUME_PEAK,TAP_IN_TAP_OUT_VOLUME_WEEKDAY,TAP_IN_TAP_OUT_VOLUME_WEEKLY,PEAK_HOUR_PERCENTAGE (%),WEEKDAY_PERCENTAGE (%),"('2020', 'Male Percentage')","('2020', '00 - 19')","('2020', '20 - 39')","('2020', '40 - 59')","('2020', '60 & Over')","('2020', 'Average Income')"
MEI CHIN,26931.0,148723.0,164801.0,940456.0,15.813924309058585,87.61760252473269,87445.0,473610.0,430660.0,2446502.0,19.35865983350923,88.01546044107056,114376.0,622333.0,595461.0,3386958.0,18.37439377754315,87.90498730719425,0.4723650385604113,2500,3870,4720,4490,9747.130659767141
MOULMEIN,58223.0,317065.0,356521.0,2007849.0,15.791277132891965,88.78182572494246,218498.0,1162850.0,1110215.0,6148668.0,18.91222619272987,90.28093564329706,276721.0,1479915.0,1466736.0,8156517.0,18.143957770210005,89.9119072515879,0.5075268817204301,2560,2100,3220,1410,21092.267391304347
NASSIM,34248.0,186658.0,190227.0,1075547.0,17.354704164485607,88.43267658224141,25503.0,137309.0,148966.0,821165.0,16.72124359903308,90.70406069425755,59751.0,323967.0,339193.0,1896712.0,17.080452910088617,89.41605262158936,0.4632352941176471,2480,2030,3130,1900,21476.785185185185
NATIONAL UNIVERSITY OF S'PORE,13033.0,67220.0,69305.0,364330.0,18.450306041226362,95.11294705349546,128604.0,661308.0,592493.0,3103189.0,21.31059371504604,95.46518114107778,141637.0,728528.0,661798.0,3467519.0,21.01006512148888,95.42817213114044,0.2916666666666667,30,180,50,0,
NATURE RESERVE,19985.0,112671.0,119060.0,690060.0,16.327710633857926,86.26786076573052,38809.0,214456.0,212785.0,1223642.0,17.526041113332166,86.94740782026115,58794.0,327127.0,331845.0,1913702.0,17.093936255488053,86.70237058852423,0.4701298701298701,830,960,1320,770,21302.141361256545
NORTHSHORE,2500.0,16225.0,15440.0,104976.0,15.455913732662705,73.54061880810852,11622.0,63894.0,58614.0,335760.0,19.029664045746962,87.2855611150822,14122.0,80119.0,74054.0,440736.0,18.178456037174183,84.01174399186814,0.5111111111111111,90,130,140,110,19590.478260869564
ONE NORTH,34940.0,182896.0,170146.0,920007.0,19.879848740281325,92.46994859821719,74226.0,381508.0,319358.0,1674188.0,22.787643920515496,95.3769827522357,109166.0,564404.0,489504.0,2594195.0,21.756421548881253,94.34603027143295,0.4861111111111111,180,190,300,50,21158.197183098593
PASIR PANJANG 1,58652.0,315598.0,288568.0,1619045.0,19.492849179608967,89.11673239471416,46803.0,249627.0,205651.0,1148486.0,21.735310661166093,89.53134822714426,105455.0,565225.0,494219.0,2767531.0,20.423438797975525,89.28879206773112,0.4888888888888889,850,1270,1510,890,22277.171171171172
PASIR RIS CENTRAL,192960.0,1062513.0,1192405.0,6792627.0,15.642151409167617,87.77200632391562,175531.0,956884.0,941864.0,5371423.0,17.814348264882508,87.67360157634207,368491.0,2019397.0,2134269.0,12164050.0,16.601353989830688,87.72855257911633,0.48852357320099254,6900,10030,10030,5300,13130.212779156327
PORT,19317.0,102803.0,85799.0,471182.0,21.818108501598108,91.0465595035464,38471.0,205195.0,162343.0,891649.0,23.01297932258097,91.03526163322114,57788.0,307998.0,248142.0,1362831.0,22.599867481734712,91.03916773246279,0.5,10,40,30,30,26058.0
POTONG PASIR,47937.0,261748.0,278597.0,1581997.0,16.545416963496137,88.05231615483468,87962.0,476548.0,460743.0,2610890.0,18.252320090084226,88.23485478131978,135899.0,738296.0,739340.0,4192887.0,17.608297099349446,88.1659820548467,0.48293515358361777,1790,2900,3460,3580,9373.423143350605
PUNGGOL FIELD,125773.0,692811.0,778985.0,4414864.0,15.69269177940702,88.22298942843993,81121.0,450411.0,529659.0,3022151.0,14.903656369254879,87.62947317986428,206894.0,1143222.0,1308644.0,7437015.0,15.372054513806951,87.98180452775745,0.49264705882352944,13110,11900,16570,7390,11076.111225117997
PUNGGOL TOWN CENTRE,20159.0,110955.0,131221.0,744766.0,14.897967952350134,88.09545548534707,21224.0,119586.0,141315.0,819204.0,14.597829112162538,86.25140990522507,41383.0,230541.0,272536.0,1563970.0,14.74075589685224,87.12954852075168,0.49056603773584906,6950,8110,5340,1900,8570.019775280898
REDHILL,55381.0,304263.0,300492.0,1720525.0,17.684311474695225,87.32567094346203,125326.0,670748.0,568703.0,3196601.0,20.983163053505894,88.95432992731968,180707.0,975011.0,869195.0,4917126.0,19.828879715508613,88.38445465908337,0.4849340866290019,2290,2500,3500,2330,10145.060836501902
RIVERVALE,168061.0,921789.0,1038400.0,5882809.0,15.669198167066108,88.25715742258502,60962.0,339127.0,395033.0,2264185.0,14.977883874330058,87.23514200473902,229023.0,1260916.0,1433433.0,8146994.0,15.477070438495474,87.97312235654034,0.4935500083766125,13070,16590,18890,11150,11012.36488524041
SEMBAWANG CENTRAL,164774.0,912178.0,975668.0,5589190.0,16.320397052166772,87.28169913708426,253467.0,1385997.0,1365333.0,7790485.0,17.790894918609048,87.62824137393243,418241.0,2298175.0,2341001.0,13379675.0,17.176613034322582,87.48347773768795,0.4902298850574713,8100,10420,11040,5270,10563.763005780347
SEMBAWANG SPRINGS,20663.0,120250.0,145199.0,871352.0,13.800392952561078,83.31822271596324,84511.0,463007.0,456780.0,2619861.0,17.672960512027164,87.1763807316495,105174.0,583257.0,601979.0,3491213.0,16.706428396090413,86.21344501180535,0.49284928492849284,2330,2810,2790,1190,21760.27713625866
SENGKANG TOWN CENTRE,286457.0,1578208.0,1818305.0,10373316.0,15.214112825638397,87.64338230899358,21634.0,119489.0,148577.0,840366.0,14.218685667911362,88.40017325784241,308091.0,1697697.0,1966882.0,11213682.0,15.13951438965364,87.7000970778376,0.4902087716458974,14220,18960,18420,10220,10369.143321416965
SIMEI,158779.0,860916.0,920668.0,5147771.0,16.724053964327474,89.42394679172791,128763.0,700852.0,682093.0,3877332.0,18.075625197945392,87.95906566680388,287542.0,1561768.0,1602761.0,9025103.0,17.304711093047914,88.79460987869058,0.4828897338403042,7150,11060,12150,9090,14629.369254341165
SINGAPORE POLYTECHNIC,41556.0,222364.0,237245.0,1304634.0,17.044167176388168,90.92396794809885,87154.0,450378.0,428772.0,2257404.0,19.951147424209402,94.9701515546176,128710.0,672742.0,666017.0,3562038.0,18.886435237355695,93.48819411808633,,0,0,0,0,
SOMERSET,58081.0,330510.0,395421.0,2366634.0,13.965404029520407,83.54080098570374,129362.0,731017.0,798933.0,4791767.0,15.255687515690976,83.36517614483341,187443.0,1061527.0,1194354.0,7158401.0,14.829107785383915,83.42323935191672,0.42857142857142855,20,40,40,20,20536.0
SUNGEI ROAD,18241.0,105514.0,122155.0,730400.0,14.4460569550931,83.62198795180723,29276.0,165270.0,166459.0,987405.0,16.737812751606484,84.29114699641991,47517.0,270784.0,288614.0,1717805.0,15.763372443321565,84.00662473330792,0.4975609756097561,330,470,570,690,4662.009852216749
TAMAN JURONG,207342.0,1135429.0,1197847.0,6794711.0,16.710482609194123,88.14554438003323,209562.0,1139081.0,1081178.0,6142444.0,18.54442629025189,88.00877956722113,416904.0,2274510.0,2279025.0,12937155.0,17.581222455787227,88.0806096858235,0.49899799599198397,8900,11540,12270,7220,10554.410127851592
TAMPINES EAST,745396.0,4124510.0,4762371.0,27169584.0,15.180615205591664,87.64158847629025,113485.0,607960.0,537129.0,3016945.0,20.151510882697565,89.01869275044788,858881.0,4732470.0,5299500.0,30186529.0,15.677423528886013,87.77922098960103,0.4883561120867374,23380,38540,37560,31530,8932.523557802804
TAMPINES WEST,296765.0,1622471.0,1791192.0,10112189.0,16.044706047325658,88.56598704790822,56757.0,303242.0,256809.0,1441077.0,21.042734010743352,89.1031499357772,353522.0,1925713.0,2048001.0,11553266.0,16.668126571308928,88.63298914783059,0.4914637208134572,15520,23820,22710,17630,9882.745532343317
