YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2021-02,WEEKENDS/HOLIDAY,0,TRAIN,CG2,14,6
2021-02,WEEKENDS/HOLIDAY,16,TRAIN,NE5,3441,3898
2021-02,WEEKDAY,16,TRAIN,NE5,8026,6658
2021-02,WEEKENDS/HOLIDAY,11,TRAIN,NE16/STC,17636,13483
2021-02,WEEKDAY,11,TRAIN,NE16/STC,30930,24045
2021-02,WEEKENDS/HOLIDAY,13,TRAIN,EW9,8403,7479
2021-02,WEEKDAY,13,TRAIN,EW9,16949,10781
2021-02,WEEKDAY,12,TRAIN,TE3,3183,1121
2021-02,WEEKENDS/HOLIDAY,12,TRAIN,TE3,1433,620
2021-02,WEEKDAY,5,TRAIN,EW15,508,765
2021-02,WEEKENDS/HOLIDAY,5,TRAIN,EW15,74,41
2021-02,WEEKDAY,18,TRAIN,NS7,12768,5235
2021-02,WEEKENDS/HOLIDAY,18,TRAIN,NS7,2146,2632
2021-02,WEEKDAY,0,TRAIN,NS15,388,1000
2021-02,WEEKENDS/HOLIDAY,0,TRAIN,NS15,226,494
2021-02,WEEKENDS/HOLIDAY,15,TRAIN,NS15,5063,4885
2021-02,WEEKDAY,15,TRAIN,NS15,23238,12930
2021-02,WEEKENDS/HOLIDAY,22,TRAIN,DT7,815,570
2021-02,WEEKDAY,22,TRAIN,DT7,1904,1197
2021-02,WEEKDAY,15,TRAIN,PW4,714,1166
2021-02,WEEKENDS/HOLIDAY,15,TRAIN,PW4,553,549
2021-02,WEEKDAY,17,TRAIN,CC6,6614,6834
2021-02,WEEKENDS/HOLIDAY,17,TRAIN,CC6,3886,3957
2021-02,WEEKENDS/HOLIDAY,8,TRAIN,NE8,3914,5876
2021-02,WEEKDAY,8,TRAIN,NE8,15919,21677
2021-02,WEEKDAY,20,TRAIN,CC7,2730,5079
2021-02,WEEKENDS/HOLIDAY,20,TRAIN,CC7,1304,2196
2021-02,WEEKENDS/HOLIDAY,20,TRAIN,NS3,3556,7824
2021-02,WEEKDAY,20,TRAIN,NS3,6939,21096
2021-02,WEEKENDS/HOLIDAY,10,TRAIN,SE3,1357,491
2021-02,WEEKDAY,10,TRAIN,SE3,2466,950
2021-02,WEEKDAY,9,TRAIN,EW16/NE3,12699,38679
2021-02,WEEKENDS/HOLIDAY,9,TRAIN,EW16/NE3,3703,4763
2021-02,WEEKDAY,18,TRAIN,NE16/STC,43650,81845
2021-02,WEEKENDS/HOLIDAY,18,TRAIN,NE16/STC,15759,20490
2021-02,WEEKENDS/HOLIDAY,6,TRAIN,CC16,920,664
2021-02,WEEKDAY,6,TRAIN,CC16,7904,3547
2021-02,WEEKENDS/HOLIDAY,11,TRAIN,BP12,1002,683
2021-02,WEEKDAY,11,TRAIN,BP12,1841,994
2021-02,WEEKDAY,13,TRAIN,NE17/PTC,29650,29931
2021-02,WEEKENDS/HOLIDAY,13,TRAIN,NE17/PTC,17555,16256
2021-02,WEEKDAY,23,TRAIN,EW6,928,4383
2021-02,WEEKENDS/HOLIDAY,23,TRAIN,EW6,529,2136
2021-02,WEEKENDS/HOLIDAY,12,TRAIN,CC4/DT15,2442,7258
2021-02,WEEKDAY,12,TRAIN,CC4/DT15,7157,13647
2021-02,WEEKENDS/HOLIDAY,15,TRAIN,NE4/DT19,24373,21601
2021-02,WEEKDAY,15,TRAIN,NE4/DT19,42283,35452
2021-02,WEEKENDS/HOLIDAY,8,TRAIN,SW1,487,437
2021-02,WEEKDAY,8,TRAIN,SW1,1764,4395
2021-02,WEEKDAY,9,TRAIN,NS10,52108,19518
2021-02,WEEKENDS/HOLIDAY,9,TRAIN,NS10,19372,7308
2021-02,WEEKENDS/HOLIDAY,15,TRAIN,EW23,15439,15829
2021-02,WEEKDAY,15,TRAIN,EW23,35494,31323
2021-02,WEEKDAY,20,TRAIN,NE8,17882,18162
2021-02,WEEKENDS/HOLIDAY,20,TRAIN,NE8,12599,9410
2021-02,WEEKDAY,19,TRAIN,EW33,4225,2331
2021-02,WEEKENDS/HOLIDAY,19,TRAIN,EW33,1287,1514
2021-02,WEEKDAY,7,TRAIN,BP5,4558,3220
2021-02,WEEKENDS/HOLIDAY,7,TRAIN,BP5,416,285
2021-02,WEEKDAY,8,TRAIN,SW6,5816,1785
2021-02,WEEKENDS/HOLIDAY,8,TRAIN,SW6,1304,426
2021-02,WEEKDAY,16,TRAIN,EW4,13450,10201
2021-02,WEEKENDS/HOLIDAY,16,TRAIN,EW4,4778,4328
2021-02,WEEKENDS/HOLIDAY,14,TRAIN,CC2,1054,1398
2021-02,WEEKDAY,14,TRAIN,CC2,2345,3520
2021-02,WEEKENDS/HOLIDAY,12,TRAIN,NE14,13436,8973
2021-02,WEEKDAY,12,TRAIN,NE14,22457,16308
2021-02,WEEKDAY,20,TRAIN,NE4/DT19,51832,20741
2021-02,WEEKENDS/HOLIDAY,20,TRAIN,NE4/DT19,24568,10940
2021-02,WEEKDAY,0,TRAIN,SE5,30,188
2021-02,WEEKENDS/HOLIDAY,0,TRAIN,SE5,15,111
2021-02,WEEKENDS/HOLIDAY,7,TRAIN,DT33,4448,1405
