OBJECTID_left,STN_NAME,STN_NO,geometry,index_right,OBJECTID_right,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,SHAPE_Area
56,THANGGAM LRT STATION,SW4,POINT (32709.26889999956 42133.90029999986),261,262,6,FERNVALE,SESZ06,N,SENGKANG,SE,NORTH-EAST REGION,NER,C2885440D673A7A2,2014-12-05,32806.2915,41896.3685,6491.76794385,2391082.76469
135,TIONG BAHRU MRT STATION,EW17,POINT (27298.95749999955 29846.25100000016),41,42,4,TIONG BAHRU STATION,BMSZ04,N,BUKIT MERAH,BM,CENTRAL REGION,CR,91FFE927ABE3E4DB,2014-12-05,27277.4698,29607.0237,2506.6879191,350787.561421
174,TOA PAYOH MRT STATION,NS19,POINT (29578.44079999998 34980.8638000004),199,200,2,TOA PAYOH CENTRAL,TPSZ02,N,TOA PAYOH,TP,CENTRAL REGION,CR,F05298981CE86DAB,2014-12-05,29409.7438,34982.1962,5201.96875215,1107267.03579
74,TONGKANG LRT STATION,SW7,POINT (33845.4132000003 41252.61830000021),225,226,5,COMPASSVALE,SESZ05,N,SENGKANG,SE,NORTH-EAST REGION,NER,380E7DCFD2E09905,2014-12-05,34304.2505,40761.0908,5216.01738046,1093213.49087
25,TUAS CRESCENT MRT STATION,EW31,POINT (7495.531000000425 33698.68180000037),139,140,3,TUAS NORTH,TSSZ03,N,TUAS,TS,WEST REGION,WR,1CD927A110152200,2014-12-05,7737.0329,34331.0851,7702.82494807,3260150.8569
22,TUAS LINK MRT STATION,EW33,POINT (6138.311499999836 35848.06579999998),177,178,2,TUAS PROMENADE,TSSZ02,N,TUAS,TS,WEST REGION,WR,F2BFB371A2C0DEFA,2014-12-05,5918.9956,34910.5821,13318.7733951,3188097.30624
27,TUAS WEST ROAD MRT STATION,EW32,POINT (6442.640100000426 34689.79880000092),110,111,4,TUAS BAY,TSSZ04,N,TUAS,TS,WEST REGION,WR,B16AC41469AD9EB5,2014-12-05,6921.1588,33401.4189,10583.7111263,3203306.03725
139,UBI MRT STATION,DT27,POINT (35337.77089999989 34685.48330000043),136,137,3,KAMPONG UBI,GLSZ03,N,GEYLANG,GL,CENTRAL REGION,CR,12CC0A25547E67F9,2014-12-05,35039.5495,34647.2633,5573.53291765,1878092.47786
179,UPPER CHANGI MRT STATION,DT34,POINT (42262.07670000009 35988.40359999985),213,214,4,SIMEI,TMSZ04,N,TAMPINES,TM,EAST REGION,ER,80BC46AD51E70C08,2014-12-05,41431.0631,35870.7852,7402.56077942,2778635.6553
181,WOODLANDS MRT STATION,TE2,POINT (22949.03220000025 46418.55780000053),287,288,1,WOODLANDS REGIONAL CENTRE,WDSZ01,N,WOODLANDS,WD,NORTH REGION,NR,8AEF535CD000EA39,2014-12-05,22571.2094,46698.8735,3254.34327541,595652.143904
24,WOODLANDS MRT STATION,NS9,POINT (22788.15270000044 46507.92190000042),287,288,1,WOODLANDS REGIONAL CENTRE,WDSZ01,N,WOODLANDS,WD,NORTH REGION,NR,8AEF535CD000EA39,2014-12-05,22571.2094,46698.8735,3254.34327541,595652.143904
0,WOODLANDS NORTH MRT STATION,TE1,POINT (22699.99319899935 47770.39981430701),291,292,7,GREENWOOD PARK,WDSZ07,N,WOODLANDS,WD,NORTH REGION,NR,A38714A4F4163DCE,2014-12-05,22608.3894,47660.0645,4620.86556655,1281296.51029
175,WOODLANDS SOUTH MRT STATION,TE3,POINT (23607.83090000041 45444.71130000055),281,282,4,WOODLANDS SOUTH,WDSZ04,N,WOODLANDS,WD,NORTH REGION,NR,8A4E14DAC4ACE11C,2014-12-05,23609.573,45692.8785,5211.38443467,1576001.47579
146,WOODLEIGH MRT STATION,NE11,POINT (32173.31859999988 35706.37939999998),161,162,10,BIDADARI,TPSZ10,N,TOA PAYOH,TP,CENTRAL REGION,CR,B522727043B8AF0C,2014-12-05,32632.5394,35918.015,3323.74283763,572502.13978
6,YEW TEE MRT STATION,NS5,POINT (18438.97910000011 42158.01239999942),263,264,6,YEW TEE,CKSZ06,N,CHOA CHU KANG,CK,WEST REGION,WR,D172AF50E2754CBF,2014-12-05,18498.1139,42506.0743,3715.39422999,923214.7487
41,YIO CHU KANG MRT STATION,NS15,POINT (29294.12829999998 40413.0820000004),227,228,10,YIO CHU KANG,AMSZ10,N,ANG MO KIO,AM,NORTH-EAST REGION,NER,5E2B16BB381BAEA4,2014-12-05,29443.7447,40836.0207,4533.21836353,909418.567689
13,YISHUN MRT STATION,NS13,POINT (28187.67870000005 45686.07010000013),286,287,9,YISHUN WEST,YSSZ09,N,YISHUN,YS,NORTH REGION,NR,95C11920195B86C7,2014-12-05,27743.2668,45873.6006,5318.57926605,1517767.38917
