BUS_STOP_N,BUS_ROOF_N,LOC_DESC,geometry,index_right,OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,SHAPE_Area
14391,B04,OPP BLK 85,POINT (25250.65409991145 28931.2849126067),28,29,13,TELOK BLANGAH DRIVE,BMSZ13,N,BUKIT MERAH,BM,CENTRAL REGION,CR,54A4BD5ABBBDC5A8,2014-12-05,25280.2612,28791.4606,5317.78168432,1454827.64584
14399,B05,BLK 88,POINT (25239.81250209268 28904.00420281664),28,29,13,TELOK BLANGAH DRIVE,BMSZ13,N,BUKIT MERAH,BM,CENTRAL REGION,CR,54A4BD5ABBBDC5A8,2014-12-05,25280.2612,28791.4606,5317.78168432,1454827.64584
14401,NIL,OPP THE FURNITURE WAREHSE,POINT (24528.69379864912 28298.54650324211),23,24,1,MARITIME SQUARE,BMSZ01,N,BUKIT MERAH,BM,CENTRAL REGION,CR,C1AC31ABF9978DDB,2014-12-05,25805.7867,27911.4193,13737.116181,2701634.33975
14409,NA,OPP BLK 3B,POINT (24480.74770227727 28224.38190277107),23,24,1,MARITIME SQUARE,BMSZ01,N,BUKIT MERAH,BM,CENTRAL REGION,CR,C1AC31ABF9978DDB,2014-12-05,25805.7867,27911.4193,13737.116181,2701634.33975
14419,NA,CP A,POINT (24411.43599869497 27758.95160282217),23,24,1,MARITIME SQUARE,BMSZ01,N,BUKIT MERAH,BM,CENTRAL REGION,CR,C1AC31ABF9978DDB,2014-12-05,25805.7867,27911.4193,13737.116181,2701634.33975
14429,B04,CP B,POINT (24702.53410144616 27733.05930112675),23,24,1,MARITIME SQUARE,BMSZ01,N,BUKIT MERAH,BM,CENTRAL REGION,CR,C1AC31ABF9978DDB,2014-12-05,25805.7867,27911.4193,13737.116181,2701634.33975
14471,B03A,BLK 114,POINT (25039.48019977193 29386.70759953931),28,29,13,TELOK BLANGAH DRIVE,BMSZ13,N,BUKIT MERAH,BM,CENTRAL REGION,CR,54A4BD5ABBBDC5A8,2014-12-05,25280.2612,28791.4606,5317.78168432,1454827.64584
14489,B03A,BLK 36 MKT/FC,POINT (26701.29099729937 28304.61695444398),60,61,15,TELOK BLANGAH RISE,BMSZ15,N,BUKIT MERAH,BM,CENTRAL REGION,CR,92F3596780DFCCEA,2014-12-05,27029.9638,28501.6649,3713.83818129,533671.253136
14491,B03,OPP TELOK BLANGAH MKT/FC,POINT (25169.60846308805 28363.65194568597),28,29,13,TELOK BLANGAH DRIVE,BMSZ13,N,BUKIT MERAH,BM,CENTRAL REGION,CR,54A4BD5ABBBDC5A8,2014-12-05,25280.2612,28791.4606,5317.78168432,1454827.64584
14499,B04,TELOK BLANGAH MKT/FC,POINT (25169.65523599461 28384.70240014791),28,29,13,TELOK BLANGAH DRIVE,BMSZ13,N,BUKIT MERAH,BM,CENTRAL REGION,CR,54A4BD5ABBBDC5A8,2014-12-05,25280.2612,28791.4606,5317.78168432,1454827.64584
14501,B02,OPP BLK 91A,POINT (25011.48810748477 28816.43142218702),28,29,13,TELOK BLANGAH DRIVE,BMSZ13,N,BUKIT MERAH,BM,CENTRAL REGION,CR,54A4BD5ABBBDC5A8,2014-12-05,25280.2612,28791.4606,5317.78168432,1454827.64584
14509,B01,BLK 92B,POINT (25051.62192066945 28681.5841845721),28,29,13,TELOK BLANGAH DRIVE,BMSZ13,N,BUKIT MERAH,BM,CENTRAL REGION,CR,54A4BD5ABBBDC5A8,2014-12-05,25280.2612,28791.4606,5317.78168432,1454827.64584
14519,NIL,RESORTS WORLD SENTOSA,POINT (26966.40079706442 26482.10069727153),19,20,1,SENTOSA,SISZ01,N,SOUTHERN ISLANDS,SI,CENTRAL REGION,CR,A6FCDC9C447952CB,2014-12-05,27593.9393,25813.3546,17496.1937369,4919132.36978
15041,B22,AFT PSA BLDG,POINT (24494.8471986549 28567.91199715249),29,30,14,PASIR PANJANG 2,QTSZ14,N,QUEENSTOWN,QT,CENTRAL REGION,CR,C6E665749CEADED6,2014-12-05,23692.6385,28894.4099,5797.23131893,853206.571724
15049,B21,BEF PSA BLDG,POINT (24532.38819812331 28552.95149910636),28,29,13,TELOK BLANGAH DRIVE,BMSZ13,N,BUKIT MERAH,BM,CENTRAL REGION,CR,54A4BD5ABBBDC5A8,2014-12-05,25280.2612,28791.4606,5317.78168432,1454827.64584
15051,B20,ALEXANDRA PT,POINT (24554.4204017492 28837.58439947665),29,30,14,PASIR PANJANG 2,QTSZ14,N,QUEENSTOWN,QT,CENTRAL REGION,CR,C6E665749CEADED6,2014-12-05,23692.6385,28894.4099,5797.23131893,853206.571724
15059,B19,OPP ALEXANDRA PT,POINT (24586.97559825238 28818.12219738029),28,29,13,TELOK BLANGAH DRIVE,BMSZ13,N,BUKIT MERAH,BM,CENTRAL REGION,CR,54A4BD5ABBBDC5A8,2014-12-05,25280.2612,28791.4606,5317.78168432,1454827.64584
