"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","states","totalTestResults","totalTestResultsIncrease"
"2020-09-21",192063,281,19353,6138,1064,28849,389350,46824813,275759,2116,1570,6786731,39162,56,104568152,736026
"2020-09-20",191782,327,19281,6100,525,28724,388286,46549054,397752,2112,1595,6747569,35533,56,103832126,994214
"2020-09-19",191455,747,19243,6163,1051,29185,387761,46151302,448470,2111,1577,6712036,45668,56,102837912,1154365
"2020-09-18",190708,901,19163,6175,1423,29651,386710,45702832,465150,2107,1608,6666368,46889,56,101683547,1091282
"2020-09-17",189807,880,19057,6285,1549,30035,385287,45237682,406941,2092,1662,6619479,43642,56,100592265,988394
"2020-09-16",188927,1190,18961,6303,1461,30345,383738,44830741,335380,2090,1647,6575837,40319,56,99603871,855938
"2020-09-15",187737,1034,18847,6308,1484,30427,382277,44495361,331196,2071,1574,6535518,34778,56,98747933,850594
"2020-09-14",186703,407,18748,6249,912,30071,380793,44164165,352500,2061,1513,6500740,33572,56,97897339,812648
"2020-09-13",186296,392,18692,6233,545,29921,379881,43811665,334958,2056,1562,6467168,34579,56,97084691,793150
"2020-09-12",185904,817,18648,6451,1145,30758,379336,43476707,382218,2051,1619,6432589,41850,56,96291541,1002584
"2020-09-11",185087,1015,18549,6376,1510,31530,378191,43094489,411352,2031,1716,6390739,44698,56,95288957,939863
"2020-09-10",184072,1161,18453,6522,1498,32521,376681,42683137,344240,2008,1923,6346041,37409,56,94349094,836939
"2020-09-09",182911,1088,18322,6659,1970,32653,375183,42338897,309452,1994,1906,6308632,30733,56,93512155,760341
"2020-09-08",181823,347,18189,6543,934,32339,373213,42029445,194962,1975,1881,6277899,22310,56,92751814,541293
"2020-09-07",181476,227,18156,6630,474,32116,372279,41834483,304950,1967,1879,6255589,28117,56,92210521,660792
"2020-09-06",181249,452,18125,6700,499,32497,371805,41529533,315811,1960,1912,6227472,33033,56,91549729,766481
"2020-09-05",180797,926,18089,6766,1173,33626,371306,41213722,379522,1956,1956,6194439,44860,56,90783248,981808
"2020-09-04",179871,999,18012,6922,1249,34177,370133,40834200,502785,1943,1998,6149579,51600,56,89801440,1092445
"2020-09-03",178872,1072,17894,6923,1488,34753,368884,40331415,372826,1928,2038,6097979,44643,56,88708995,912816
"2020-09-02",177800,1035,17784,7091,1521,35660,367396,39958589,320032,1918,2027,6053336,30655,56,87796179,800091
"2020-09-01",176765,1014,17655,7084,1867,35338,365875,39638557,291933,1902,2041,6022681,42242,56,86996088,817309
"2020-08-31",175751,380,17537,7047,710,35453,364008,39346624,282874,1877,2075,5980439,31720,56,86178779,667656
"2020-08-30",175371,477,17439,7268,662,35801,363298,39063750,371775,1870,2055,5948719,38766,56,85511123,850314
"2020-08-29",174894,1017,17401,7413,1299,36516,362636,38691975,374871,1864,2062,5909953,43995,56,84660809,912608
"2020-08-28",173877,1020,17304,7564,1642,37356,361337,38317104,377185,1856,2087,5865958,46115,56,83748201,932334
"2020-08-27",172857,1128,17181,7712,1654,37498,359695,37939919,386163,1831,2128,5819843,44111,56,82815867,858891
"2020-08-26",171729,1300,17046,7742,1804,38515,358041,37553756,365573,1809,2143,5775732,44331,56,81956976,776139
"2020-08-25",170429,1140,16920,7854,1988,38831,356237,37188183,329575,1789,2161,5731401,36839,56,81180837,743001
"2020-08-24",169289,341,16787,7854,1031,38806,354249,36858608,329007,1764,2112,5694562,34543,56,80437836,699795
"2020-08-23",168948,577,16697,7949,698,39064,353218,36529601,331115,1737,2131,5660019,37900,56,79738041,724320
"2020-08-22",168371,1035,16657,8207,1603,40017,352520,36198486,380196,1736,2204,5622119,46054,56,79013721,905285
"2020-08-21",167336,1119,16563,8358,1783,41049,350917,35818290,375243,1730,2288,5576065,46456,56,78108436,916550
"2020-08-20",166217,1129,16487,8486,1983,42109,349134,35443047,351024,1716,2330,5529609,43844,56,77191886,862729
"2020-08-19",165088,1411,16377,8747,1983,43406,347151,35092023,394599,1705,2375,5485765,45073,56,76329157,847736
"2020-08-18",163677,1179,16123,8859,2261,43840,345168,34697424,309631,1695,2467,5440692,40070,56,75481421,773942
"2020-08-17",162498,411,15985,8881,1224,43614,342907,34387793,282086,1678,2444,5400622,37751,56,74707479,689630
"2020-08-16",162087,617,15924,8958,685,44155,341683,34105707,382038,1665,2481,5362871,42503,56,74017849,779625
"2020-08-15",161470,1227,15891,9087,1891,44922,340998,33723669,376986,1663,2526,5320368,56046,56,73238224,895907
"2020-08-14",160243,1226,15764,9277,2141,45868,339107,33346683,460133,1665,2555,5264322,57101,56,72342317,986566
"2020-08-13",159017,1163,15629,9480,2675,47303,336966,32886550,406160,1649,2574,5207221,51763,56,71355751,954335
"2020-08-12",157854,1517,15524,9564,2971,48067,334291,32480390,149780,1629,2602,5155458,56186,56,70401416,604377
"2020-08-11",156337,1320,15331,9135,2624,48600,331320,32330610,332926,1612,2422,5099272,54935,56,69797039,843601
"2020-08-10",155017,430,15158,9209,1554,48751,328696,31997684,304825,1592,2529,5044337,41370,56,68953438,737558
"2020-08-09",154587,621,15081,9307,862,48997,327142,31692859,382995,1578,2507,5002967,50766,56,68215880,798326
"2020-08-08",153966,1086,15024,9662,1494,50071,326280,31309864,342265,1561,2566,4952201,53529,56,67417554,797230
"2020-08-07",152880,1323,14925,9698,7994,51327,324786,30967599,413647,1549,2628,4898672,60823,56,66620324,901610
"2020-08-06",151557,1241,14810,9996,2615,53219,316792,30553952,398932,1534,2714,4837849,54048,56,65718714,859985
"2020-08-05",150316,1355,14687,9988,2118,53435,314177,30155020,352857,1524,2721,4783801,52698,56,64858729,824453
"2020-08-04",148961,1241,14537,10207,4423,53436,312059,29802163,356014,1493,2701,4731103,51198,56,64034276,803597
"2020-08-03",147720,516,14370,10233,1558,53517,307636,29446149,308182,1463,2664,4679905,42738,56,63230679,712060
"2020-08-02",147204,496,14288,10415,831,54106,306078,29137967,373458,1448,2645,4637167,53301,56,62518619,794058
"2020-08-01",146708,1201,14227,10450,2386,54554,305247,28764509,372834,1445,2698,4583866,60679,56,61724561,819693
"2020-07-31",145507,1328,14044,10473,2532,55721,302861,28391675,252421,1437,2701,4523187,67827,56,60904868,995020
"2020-07-30",144179,1248,13875,10519,3291,56571,300329,28139254,389852,1415,2762,4455360,68961,56,59909848,897923
"2020-07-29",142931,1503,13744,10535,2860,57422,297038,27749402,449545,1400,2771,4386399,64143,56,59011925,915155
"2020-07-28",141428,1111,13559,10463,4068,57185,294178,27299857,353995,1372,2748,4322256,58457,56,58096770,850578
"2020-07-27",140317,1066,13412,10328,1631,58987,290110,26945862,366887,1356,2723,4263799,54479,56,57246192,764501
