"BUS_STOP_N,C,65","BUS_ROOF_N,C,10","LOC_DESC,C,254"
07517,B07,IBIS S'PORE ON BENCOOLEN
47111,B02,BEF SENOKO WAY
11351,B01,BLK 13
66361,B03,BLK 319
67351,B03,BLK 321 CP
55141,B09,OPP BLK 622
07529,B02,JLN BESAR STN EXIT A
92149,B08,ST. PATRICK'S GREEN
04029,B03,BEF BENCOOLEN STN EXIT A
28519,B04,BLK 425
59381,B12,BLK 314
21681,B25,OPP BLK 200
28201,NIL,OPP THE JTC SUMMIT
44259,B07,BLK 183
01119,B06,BUGIS JUNCTION
46031,B35,KRANJI LODGE 1
60261,B01A,POTONG PASIR STN EXIT C
53251,B01,BLK 125
46039,B34,OPP KRANJI LODGE 1
21339,B09,PREMIER MILK PTE LTD
61069,B01,BLK 101
58009,INT,Sembawang Int
08138,B06,CONCORDE HOTEL S'PORE
76261,B04,BLK 489B
25519,B04,OPP MICHELMAN
46371,B03,BLK 406
10009,INT,BT MERAH INT
19069,B07,OPP AYER RAJAH TELECOMS
22501,B02,BLK 662A
84231,B14,BLK 85
44649,B11,BLK 541A CP
59371,NIL,CHUNG CHENG HIGH SCH
77269,B01,OPP BLK 717
73019,B15,BEF ROUNDABOUT
21071,B15,JURONG ABATTOIR
83291,B06,AFT JOO CHIAT PL
75071,B06,OPP BLK 819
59609,NIL,OPP BLK 392
18059,B01,OPP ONE-NORTH STN
27011,NIL,BLK 55
21299,B03,BEF JLN BUROH
17181,B17,OPP BLK 317
54451,B24,BLK 643
67231,B10,RIVERVALE PR SCH
82081,B06,AFT DUNMAN RD
22329,B03,OPP SAM MCCOY ENGRG
67179,B06,OPP BLK 225A
56071,B31,BEF OLD UPP THOMSON RD
59149,B03,BLK 145
45241,B11,OPP BLK 511A
65111,B23,BEF PUNGGOL 17TH AVE
91061,B15,BET HSE NO. 767/767A
49159,B05,ECON GROUP
81099,B06,BLK 102
40091,B19,BEF LEWIS RD
65231,NIL,RIVIERA STN EXIT B
15141,B01,LABRADOR PK STN
12049,B04,OPP PANDAN VALLEY
64331,B01,BLK 508
03217,B03,OPP AXA TWR
15209,B10,BEF PASIR PANJANG STN
80161,B03,OPP NICOLL HIGHWAY STN
22071,B07,BEF JURONG PIER RD
58429,B04,Bet Blks 415/416
98091,B01,BLK 156
01529,B08,PLAZA PARKROYAL
96231,B05,DB SCHENKER
55011,B50,OPP THE CALROSE
57121,B17,OPP BLK 115B
25439,B06,OPP SUPER CONTINENTAL
27189,NIL,OPP PUB SUB-STN
93161,B17,BEF CP E1
44299,B06,CCK POLYCLINIC
58339,B02,OPP BLK 589D
64219,B08,AFT DEFU AVE 2
70381,NIL,Kong Hwa Sch
84219,B02,BET BLKS 139/140
76429,B04,BLK 331
66369,B04,BLK 238
06131,B03,THE BOYS' BRIGADE HQ
13062,B14,STELLAR RV
47031,B24,BEF KERAMAT RD
42249,B02,BEF ENG KONG PL
46489,B01,AFT GAMBAS AVE
12201,B01,LOGISHUB @ CLEMENTI
06169,B04,RIVER PL CONDO
11339,B07,DYNASTY LODGE
44861,B03,BLK 636A
44799,B02,BLK 610
28261,B15,AFT S'PORE SCIENCE CTR
10169,B06,TIONG BAHRU STN
60101,B09,KWONG WAI SHIU HOSP
13169,B02,GRANGE 80 CONDO
25239,B44,ASIA-PACIFIC BREWERY
30039,B19,ARMY LOGISTICS BASE
46431,B01,BLK 840
92181,B02,112 KATONG
67619,B04,BLK 201C
82149,NIL,BEF KOON SENG RD
44149,B01,OPP PHOENIX STN
43229,B02,OPP BLK 266
99039,B20,ST. GEORGE CHAPEL
59599,NIL,OPP BLK 406
23079,B09,SAFTI MILITARY INST
92069,B06,TAO NAN SCH
84649,B01,OPP BLK 24
98031,B05,AFT PASIR RIS DR 3
24549,B05,KEPPEL SHIPYARD
67241,B08,BLK 248A
53161,B14,OPP BLK 254
76091,B06,BLK 206
58391,B01,Blk 303
58451,NIL,AFT HEAVY VEH PK
44371,B03,BLK 219
43749,B03,OPP BT VIEW SEC SCH
21679,B02,BLK 329
04223,B06,OLD HILL ST POLICE STN
64601,B06,BLK 919
83361,B03,HUA YU MANSIONS
11309,B13,HSE NO. 589
84151,B04,CASAFINA
20199,B01,BLK 410
83189,B05,BEF BETHESDA FRANKEL CH
97081,B01,SELARANG PK DRUG REH.
67219,B10,RANGGUNG STN EXIT B
14021,B12,THE PEARL /@ MT FABER
09038,B10,OPP SOMERSET STN
65049,B08,BLK 126A
05009,NIL,OPP OCBC CTR
28541,B08,BLK 551
14399,B05,BLK 88
84609,B22,WATERFRONT KEY
70099,B02,TRAFFIC POLICE
77021,B13,OPP BLK 571
96189,B06,BLK 166
84049,B08,BLK 27
92159,B10,ST. PATRICK'S SCH
66481,B01,OPP BLK 968
23331,B09,OPP JP NELSON
52419,B06,CURTIN SINGAPORE
03219,NIL,AFT SHENTON WAY
22521,B06,PIONEER STN EXIT A
98319,B02,AFT BALLOTA PK
65289,B05,OPP PUNGGOL SEC SCH / BLK 195E
97099,B04,AFT LOYANG AVE
34041,B03,B03 LIM CHU KANG RD
59069,B08,OPP BLK 757
46591,B10,BLK 303
41149,B02,OPP SICC
06011,B01,OPP OUTRAM PK STN
24599,B01,BEF JOO KOON WAY
21239,B14,OPP BLK 203
44439,B07,BLK 9
17191,B19,NUS HIGH SCH
70021,B09,OPP CANOSSA CONVENT PR
47581,NIL,OPP BLK 521
27179,B03,AFT LOR DANAU
26369,NIL,SEE HUP SENG
76439,B05,BLK 351
16249,B08,BEF WHOLESALE CTR
17201,B04,BLK 308
10321,B08,AFT MARGARET DR
65041,B07,BLK 231
16239,B06,OPP WHOLESALE CTR
62231,B08,BEF S'PORE GIRLS' HOME
20151,B19,OPP BLK 411
18061,B05,BLK 71
78139,B06,OPP PASIR RIS PR SCH
70341,B02,TANNERY BLK
58151,B03,BEF SEMBAWANG STN
03223,B03,TANJONG PAGAR STN EXIT C
21121,B11,SPC SVC STN
67529,B06,OPP BLK 157A
45271,B01,BLK 560
76139,B08,OPP CENTURY SQ
58509,B01,BLK 590A
64161,B17,SCHENKER
64039,B04,BLK 434
11219,B06,GREAT EASTERN MANS
67109,B08,BLK 235
46209,B01,BLK 2
49211,B08,PUB QUARTER
15191,B07,PASIR PANJANG STN / FC
53341,B06,BLK 407
20331,B05,VEJOIL PTE LTD
21769,B02,OPP BLK 138B
96151,B06,BLK 106
24411,B05,GUL CAMP
63089,B13,BLK 241
16219,B02,OPP WHARVES BLDG
22241,B01,OPP BLK 622
54248,B18A,BLK 324
42171,B05,SIGNATURE PK CONDO
47809,B09,OPP SUNSHINE BAKERY
29139,B01,OPP FOH FOH PTE LTD
45319,B06,BLK 530
03369,B03,MARINA BARRAGE
82111,B10,OPP TG KATONG CPLX
81219,B04,OPP GEYLANG POLYCLINIC
27199,NIL,HALL 11
59131,B22,BLK 137
53201,B03,OPP NEA REG OFF
16139,B24,BEF KENT RIDGE TER
34059,B02,YISHUN DAIRY FARM
50179,B15,OPP ZHONGSHAN MALL
43499,B01,BLK 419
10439,B03,OPP ENABLING VILLAGE
43781,B12,OPP BLK 437A
25339,B04,ASIA STEEL WELDED MESH
46559,B01,OPP BLK 101
96089,B06,OPP GRACE INDEPENDENT CH
41089,B24,AFT JLN NAGA SARI
17159,B12,BLK 365
77139,B02,BLK 582
51111,B01,OPP ANDREW RD
64561,B06,BLK 574
59359,B03,BLK 322
52321,B01,TOA PAYOH STADIUM
66359,B02A,S'GOON STN EXIT C / BLK 201
12071,B09,BLK 116
21509,B03,OPP MEIJI SEIKA
46869,B04,BLK 628A
84279,B05,AFT BEDOK NTH ST 5
16189,B03,INFORMATION TECHNOLOGY
28289,B18,BLK 228
84149,B05A,LION HOME FOR ELDERS
45199,B27,MANDAI POLICE TRG CAMP
52501,B01,TOA PAYOH SWIM CPLX
43291,B04,AFT JLN REMAJA
11281,B15,AFT TAN BOON CHONG AVE
32041,B29,OPP LP 160
31069,B38,BEF CHOA CHU KANG RD
63101,B10,OPP BLK 169
10099,B10,OPP BT MERAH TOWN CTR
20191,B02,BLK 407
83131,B08,AFT LOR H TELOK KURAU
70221,B09,BLK 79 FC
11179,B04,BLK 8
21669,B12,OPP BLK 134D
33039,B16,OPP JLN BAHTERA
07551,B03,FU LU SHOU CPLX
82032,B17,BLK 416
46519,B02,OPP BLK 144
22469,B08,BLK 653B
83081,B09,OPP PERPETUAL SUCCOUR CH
67239,B09,OPP RIVERVALE PR SCH
76199,B04,BLK 503
10111,B15,OPP BLK 28
11259,B01,OPP BLK 21
59481,B01,BLK 873
10141,B03,BLK 18
63341,B02,OPP BLK 709
75371,B07,AFT TAMPINES AVE 5
60209,B02,SANT RITZ
45351,B03,BLK 634
15139,B01,KENT RIDGE STN EXIT B
62249,B05,OPP SBST HOUGANG DEPOT
14419,NA,CP A
47811,B12,W'LANDS SUNNY FOOD
24259,B04,DNV GL LABORATORY
61099,B01,POTONG PASIR CC
90019,B03,PK SHORE CONDO
40071,B15,LENG KWANG BAPTIST CH
67079,B21,ST VINCENT DE PAUL CH
25421,B03,OPP TUAS LK STN
49071,B02,OPP WASON WOOD IND
83209,B09,AFT FRANKEL TERR
14189,B14,AFT ALEXANDRA RD
10481,B02,OPP BLK 73
09219,B06,FAR EAST PLAZA
43699,B02,BLK 298
78181,B03,BEF BLK 187
10399,B05,MELATI BLK 2
18339,B02A,OPP KENT RIDGE STN EXIT A
07249,B08,AFT KEMPAS RD
54231,B19,BLK 129
25451,B09,AFT TUAS WEST ST
96351,B01,BEF CHANGI STH ST 1
98061,B11,OPP ENGINE TEST FACILITY
84629,B18,BLK 716
24189,B06,TAI SIN ELECTRIC CABLES
21201,B07,SIME RENGO PACKAGING LTD
06069,B02,AFT FURAMA RIVERFRONT
76271,B02,DUNMAN SEC SCH
67011,B34,BEF BEGONIA RD
23059,B05,AFT KIAN TECK RD
34049,B04,AFT LIM CHU KANG LANE 8
13011,B03,OPP S'PORE BOTANIC GDNS
84421,B03,BLK 510
24139,B06,OPP TOYO INK
46679,B04,OPP 888 PLAZA
62129,B12,BLK 403
23311,B13,KEPPEL SHIPYARD
10061,B03,BLK 140
08019,B02,AFT HAW PAR GLASS TWR
76159,B08,OPP BLK 237
67549,B99,OPP HOCKEY STADIUM
50129,B04,OPP TAN TOCK SENG HOSP
96181,B05,BLK 151
84499,B07,BLK 140
23091,B02,NIPPON
31131,NIL,AFT TRACK 33
52209,B06,BLK 101C CP
26061,B12,BS DEVELOPMENT
46699,B07,888 PLAZA
25729,B04,ABBOTT
27271,B02,BLK 962
06159,B06,OPP HOTEL MIRAMAR
75111,B02,BLK 874A
77059,B08,BLK 425
96199,B04,OPP BLK 224
15161,B05,PASIR PANJANG CTR
25751,B02D,BEF TUAS STH AVE 14
26029,B04,CHIA HOCK TRADING CO
26019,B02,PROGRESS GALVANIZING
26081,B16,BEF TUAS AVE 18A
67329,B02A,OPP BLK 310B
41061,B29,CHINESE HIGH SCH
31031,B06,CIVIL DEFENCE ACAD
52489,B01,OPP TOA PAYOH POLYCLINIC
26071,B14,UNIFINE STAR PETROCHEM
17399,NIL,OPP FREESIA WOODS CONDO
56099,B36,AFT SPRINGLEAF RD
67009,NIL,SENGKANG INT
76371,B01,BLK 459
23179,B11,AFT SECOND LOK YANG RD
29049,B04,LTH LOGISTICS
59269,B06,OPP BLK 174
22361,B08,BLK 641
66091,B01,GOLDEN HILL EST
82011,B15,AFT TG KATONG CPLX
15041,B22,AFT PSA BLDG
27021,NIL,HALL 15
65029,B04,BLK 111
32089,B22,AFT SG GEDONG CAMP
60069,NIL,KALLANG BASIN SWIM CPLX
41121,B05,S'PORE BIBLE COLLEGE
53369,B09,OPP BLK 454
98231,B07A,LOYANG IND EST
92189,B01,OPP 112 KATONG
63311,B08,BLK 634
83229,B03,BEF CARLTON AVE
58481,NIL,OPP WELLINGTON PR SCH
43529,B08,OPP BT BATOK DRIVING CTR
53179,B02,SIN MING PLAZA
11139,B12,BLK 53A CP
96221,B07,OPP S'PORE EXPO
83062,B05,KEMBANGAN STN
14249,B07,BLK 1
66151,B05,OPP PENSHURST PL
90051,B12,OPP S'PORE SWIM CLUB
50231,B04,NORTHLIGHT SCH
23301,B14,BEF BENOI BASIN
66129,B02,AFT CHUAN GDN
67339,B06,OPP BLK 200B
65171,B02,CORAL EDGE STN EXIT B
72081,NIL,OPP BLK 668
72089,NIL,BLK 671A CP
63291,B02,OPP BLK 115
40211,B05,OPP MET YMCA
60159,B07,BLK 54
21571,B03,OPP JURONG SEC SCH
93169,B22,BEF CP D5
58141,B08,SEMBAWANG CAMP
84671,B01,AFT BLK 156
54041,B05,OPP COURTS ANG MO KIO
46411,B11,BLK 869
10209,B14,REDHILL STN
16059,B26,JAMIYAH HALFWAY HSE
10189,B10,BLK 104A CP
27311,B05,HALL 2
26089,B15,BEF TUAS AVE 20
64209,B06,AFT DEFU AVE 1
43179,B09,BLK 231
96241,B01,LAGUNA NATL COUNTRY CLUB
31211,B33,AFT MUSLIM CEMY PATH 17
91069,B14,BEF WALTON RD
26261,NIL,AFT TUAS STH AVE 4
18119,B01,OPP FAIRFIELD METH PR SCH
58359,B11,OPP BLK 484A CP
65281,B06,PUNGGOL SEC SCH / BLK 601B
18131,B02,SCIENCE PK
59401,B08,BLK 358
97011,B01,THE JAPANESE SCH
80231,B01,OPP BLK 53
61041,B09,BEF BRADDELL RD
47049,B21,W'LANDS AUTO HUB
11529,B13,BEF IKEA IND BLDG
44381,B01,BLK 202
66461,B04,BEF SEAGATE
96101,B03,BLK 3012
17351,B11,AFT CLEMENTI RD
52199,B03,BLK 84B
71189,B10,PAYA LEBAR AIR BASE
46291,B07,BLK 106
82029,B18,BLK 14 MKT / FC
66119,B04,SUMMER PL
12139,B02,AFT MT SINAI LANE
22609,NIL,SOON LEE BUS PARK
28689,B04,OPP TOH GUAN CTR
59511,B01,YISHUN SEC SCH
83011,B01,CASA SARINA
03031,B01,RAFFLES PL STN EXIT F
58371,B05,BET BLKS 325/326
92091,B19,OPP ONE AMBER
58379,B06,OPP BLK 325
68099,B02,BEF BAKER ST
47619,B12,OPP WOODSVALE CONDO
46651,B04,BLK 550
22089,B02,NATSTEEL
62021,B09,WISMA AUPE
46131,B03,AFT MARSILING LANE
76101,B08,TAMPINES EAST CC
23191,B05,OPP S'PORE TPT PTE LTD
42021,B37,AFT MAPLE AVE
27519,B04,OPP BLK 974
14309,B03,BLK 41
96161,B03,OPP SIMEI STN
60179,B09,MOM SVCS CTR
16079,B30,BEF PASIR PANJANG PO
92161,NIL,AFT KATONG PO
41011,B21,NUS BT TIMAH CAMPUS
26279,B09,AFT TUAS STH AVE 4
53129,B05,OPP MARYMOUNT STN
16019,B18,HAW PAR VILLA STN
43811,B01,BEF SUMMERHILL
16049,B24,WHITEHAVEN
14429,B04,CP B
53169,B13,BLK 254
97161,B03,EDWARDS LIFESCIENCE
49141,B06,CTRL GRANITE IND
44231,B04,ZHENGHUA PR SCH
42061,B45,KING ALBERT PK
46459,B07,BLK 872
64559,B01,BLK 830A
45161,B04,EUROKARS CTR
22509,B01,BLK 664C
84349,B09,FENGSHAN PR SCH
99099,B05,AFT TURNHOUSE RD
56209,B51,BEF THOMSON HILLS DR
59031,B01,OPP YISHUN SPORTS HALL
54069,B16,OPP BLK 244
83129,B05,AFT JI XIANG CT
21021,B08,BEF JURONG PORT RD
78101,B11,OPP DOWNTOWN EAST
17239,B01,NTUC FAIRPRICE
43221,B01,BLK 267
03211,B01,BEF SHENTON WAY
27281,B01,HALL 1
78241,B03,BET BLKS 453/454
26209,B14,MSD
26161,B03,3NC S'PORE
43491,B02,BLK 331
40011,B01,LITTLE INDIA STN EXIT A
46931,B01B,OPP W'LANDS SPECTRUM 1
29099,B05,BEF SIA HUAT
46329,B05,OPP W'LANDS CIVIC CTR
47151,B09,AFT SCANIA S'PORE
26059,B09,PAXOCEAN
24381,B02,GE KEPPEL ENERGY SVCS
24671,B19,HIAP TECK METAL CO
40089,B10,OPP STEVENS STN
21461,B01,BEF TUKANG INNOVATION DR
21489,B06,OPP GRUNDFOS
71139,B07,BLK 302
26249,NIL,BEF TUAS STH AVE 2
42111,B05,WOH HUP BLDG
19041,B09,OPP SCH OF SCIENCE & TECH
62011,B07,AFTER BARTLEY RD
62019,B08,AFT ROCHDALE RD
62029,B10,PAYA LEBAR GDNS
31159,B33,BEF LIM CHU KANG RD
45009,NIL,BT PANJANG INT
45469,B04A,BLK 537
45261,B03,BLK 551
45341,B03,BLK 604A
98109,B02,OPP LOYANG PT
63221,B01,KOVAN HUB
03041,B01,TELOK AYER STN EXIT A
98119,B02,LOYANG PT
43501,B02,OPP BLK 291E
63029,B20,OPP THE HELPING HAND
98111,B01,BLK 256 / OPP LOYANG PT
63021,B19,THE HELPING HAND
63011,B17,OPP UPP S'GOON SHOP CTR
98101,B01,LOYANG PT
25691,B02A,AFT TUAS WEST RD STN
25801,B02,BEF TUAS STH AVE 7
44031,B24,AFT BT PANJANG STN
77169,B03,OPP BLK 742
77231,B19,MERIDIAN JC
15189,B02,ASCENT
15181,B01,OPP ASCENT
18241,B03,OPP DNV GL TECHNOLOGY CTR
18249,B04,DNV GL TECHNOLOGY CTR
31151,B34,AFT LIM CHU KANG RD
65451,B05,BLK 322 CP
65459,B06,OPP BLK 322 CP
65499,B02,BLK 259 CP
28009,NIL,JURONG EAST TEMP INT
65481,UNK,BEF PUNGGOL DR
65489,UNK,AFT PUNGGOL DR
25641,B05,OPP ROCHE SPORE TECH
10039,B01,BEF HOSP DR
44181,B02,BLK 802B
44189,B01,BLK 803
44909,UNK,BLK 184
59471,B01,BLK 430B
59479,B10,OPP BLK 430B
59589,B02,BLK 505C
59721,B01A,BLK 816
59729,B02A,OPP BLK 816
59741,B05,OPP ORCHID COUNTRY CLUB
76441,B05A,OPP BLK 345
03241,B01A,MAPLETREE ANSON
07351,B05,ARC 380
10499,NIL,KAMPONG BAHRU BUS TERMINAL
14219,B06,OPP BLK 114
14501,B02,OPP BLK 91A
46381,B09,OPP W'LANDS IND PK D ST 1
46389,B10,AFT W'LANDS IND PK D ST 1
46088,B05,BLK 25
26289,B11,AFT TUAS STH ST 2
54019,B02,BLK 307A
93149,B01,SIGLAP LK
63189,B08,AFT SERANGOON GDN WAY
01611,B01,AFT RAFFLES HOTEL
66271,B06,SERANGOON GDN CIRCUS
66321,B02,BLK 128
55201,B09,AFT BLK 648
55209,B10,OPP BLK 646
56021,B21,OPP SEMBAWANG HILLS FC
56029,B22,BEF SEMBAWANG HILLS FC
56011,NIL,BEF ADANA @ THOMSON
19039,B08,DOVER STN EXIT B
19031,B07,DOVER STN EXIT A
40079,B08,BEF SWISS COTTAGE EST
47759,NIL,BLK 694C
59759,B08,THE SHAUGHNESSY
59751,B07,OPP THE SHAUGNESSY
59749,B06,ORCHID COUNTRY CLUB
25671,B01,BEF OFFSHORE MARINE CTR
25689,B28,AFT TUAS WEST AVE
25681,B27,BEF TUAS WEST AVE
45599,UNK,OPP FUCHUN CC
48131,UNK,S'PORE ZOO
52049,B01,BLK 19
52059,B03,OPP BLK 65
59731,B03,BLK 512A
59739,B04,OPP BLK 512A
59761,B03D,BLK 504C
42991,B13A,BEF HILLVIEW STN EXIT B
43453,B17,BEF PIE
43452,B15A,AFT BT BATOK WEST AVE 3
43991,B03A,OPP BLK 635A
25701,B02B,GLAXOSMITHKLINE
25709,B01B,EDGEN MURRAY
25781,B01B,OPP SLS
59621,B02B,Bet Blks 318A/318B
65391,UNK,BLK 672A
65399,UNK,BLK 670A
26101,B02,BASF STH EAST ASIA
26091,B04,ROTARY ENGRG
46981,B13,W'DLANDS STN STN EXIT 2
46989,B14,W'DLANDS STH STN EXIT 1
47751,NIL,BLK 691D
59771,NIL,BLK 469B
27401,B01,OPP BLK 821
18201,B01,MEDIA CAMPUS
58991,NIL,BLK 767
83279,B01,AFT CARMEN ST
54501,B10,OPP AMK IND PK 2
45059,B16,OPP DA DI GLASS
45041,B13,Thong Huat Bros  Pte Ltd
45049,B14,Opp Yew Tee Ind Est Blk 1
45031,B11,Yew Tee Ind Est
45039,B12,Opp Yew Tee Ind Est
45379,B02,Yew Mei Green Condo
45371,B01,Opp Yew Mei Green Condo
45021,B09,Heavy Veh Pk
45029,B10,Opp Heavy Veh Pk
45011,B07,Aft Yew Tee Flyover
44061,B05,Bef Yew Tee Flyover
45019,B08,Bef Yew Tee Flyover
45079,B20,Aft Mandai Rd
45071,B19,Bef Mandai Rd
45061,B17,Opp Mandai Est
45069,B18,AFT MANDAI EST
45051,B15,DA DI GLASS
45489,B01A,BEF CHOA CHU KANG LK
45461,B03A,BLK 540
46479,B03,BLK  774
46471,B04,OPP BLK 773
49091,B03,OPP KRANJI WTR RECLAM PT.
49099,B02A,AFT KRANJI WTR RECLAIM PLT
59781,UNK,BEF BLK 469B
59789,UNK,OPP BLK 469B
59779,NIL,OPP YISHUN ST 43
64099,B02,HOUGANG SEC SCH
64251,B03,HOUGANG SEC SCH
64089,B02,OPP HOUGANG 1
64081,B01,HOUGANG 1/ OPP BLK 931A
25771,B01,AFT TUAS STH ST 7
25821,B26,TUAS AMENITY CTR
27149,B07,JUYING PR SCH
25661,B02A,BEF TUAS BAY LK
25669,B01A,AFT TUAS BAY LK
25719,B01C,THE INDEX
25711,B02C,OPP THE INDEX
25741,B03,HALLIBURTON
30119,NIL,BLK 804B
30111,NIL,BLK 804B
30129,NIL,OPP BLK 805D
30121,NIL,BLK 805D
30109,NIL,OPP BLK 485A
30101,NIL,BLK 485D
40301,B06,BLK 451A
40309,B05,OPP BLK 451A
21059,B18,AFT PENJURU RD
21051,B17,BEF PENJURU RD
24701,NIL,TUAS CRES STN EXIT B
24709,NIL,TUAS CRES STN EXIT A
24711,B29,TUAS WEST RD STN EXIT B
24719,B30,TUAS WEST RD STN EXIT A
25539,B04,FUJIFILM
25531,B03,ST KINETICS
25541,B05,PEC
25549,B06,CAST LABORATORIES
25551,B01,GARMCO
25559,B02,LEE WELDED MESH
25561,B10,INVISTA
25569,B09,OPP INVISTA
25579,B07,WEST STAR
25571,B08,OPP WEST STAR
25589,B04,CROWN EQUIPMENT
65381,NIL,PUNGGOL SEC SCH
65389,NIL,OPP PUNGGOL SEC SCH
25599,B04,WYETH PHARMACEUTICALS
25591,B03,OPP WYETH PHARMACEUTICALS
25601,B02,PFIZER GLOBAL
25609,B01,MERCK SHARP & DOHME
25611,B04,OPP WESTLINK TWO
25621,B06,STARDUST ENGRG
25631,B08,CONTAINER CONNECTIONS
28379,B22,AFT JURONG WEST ST 51
65531,B01,BLK 226A
65539,B02,BLK 224A
40351,B08,BLK 461C
40359,B07,OPP BLK 461C
40311,B09,BLK 439C
44999,B10A,BEF YEW TEE FLYOVER
45491,B01,BEF CHOA CHU KANG NTH 5
25791,B01A,BEF TUAS STH AVE 10
25819,B02A,OPP BEYONICS TECHNOLOGY
25811,B01A,SIEM SENG HING
40191,B01,AFT DRAYCOTT PK
40199,B02,AFT BALMORAL RD
25651,B01,NOVARTIS
25761,B03,OPP REC S'PORE
40341,B07,BEF BLK 440A
40349,B08,BLK 461
40321,NIL,DULWICH COLLEGE
40329,B06,MILLENIAL INSITUTE
40369,B10,OPP BLK 438A
40361,B09,BLK 438A
43339,UNK,BLK 148
44881,UNK,Blk816B
59289,B06,BLK 676 CP
59299,B04,BLK 671 CP
40339,B02,BLK 448B
44591,B02,BLK 490B
44599,B01,BET BLKS 801B/801C
59509,B02,OPP BLK 871
65371,B16,BLK 682A
65379,B15,BLK 661A
76279,B01,BLK 491C
30041,B18,OPP HOME TEAM ACADEMY
30049,B17,HOME TEAM ACADEMY
28041,B05,THE SYNERGY
28049,B06,OPP THE SYNERGY
28059,B08,NG TENG FONG GENERAL HOSP
46859,B02,BLK 608A
20281,B23,OPP THE JAPANESE SEC SCH
17339,B22,BLK 518
17331,B21,OPP BLK 518
17329,B20,BLK 705
17321,B19,TIEN WAH PRESS BLDG
52309,NIL,OPP BLK 35
17319,B18,BLK 716
20289,B24,THE JAPANESE SEC SCH
52301,NIL,BLK 35
52339,B04,OPP BLK 26
52331,B03,BLK 27
67369,B02,BLK 306 CP
46319,B01,OPP BLK 18
46311,B02,BLK 18
62141,B15,OPP BLK 1
84589,B01,BEF NEW UPP CHANGI RD
84581,B02,OPP BEDOK STH NPC
96411,UNK,OPP EIGHTRIUM
70259,B06,MACPHERSON STN EXIT B
20149,B18,BLK 408
20141,B17,OPP BLK 408
65411,B02,HORIZON PR SCH
65429,B03,GREENDALE PR SCH
65419,B01,OPP HORIZON PR SCH
65461,B07,BLK 312 CP
65469,B08,BLK 310B
46309,B02,OPP PROGEN BLDG
58261,UNK,VISIONAIRE
58269,UNK,OPP VISIONAIRE
27071,NIL,NANYANG CRES HALLS
84169,NA,OPP BLK 3
66551,B03,BLK 984
67319,B04,BLK 336B
67311,B03,BLK 330
72149,B08,SHUN LI IND PK
72141,B07,BARTLEY BIZ CTR
72131,B05,OPP TECH VIEW
72139,B06,TECH VIEW
01411,B09,OPP ST JOHN HQ
67759,UNK,COMPASSVALE INT
01311,B01,LAVENDER STN EXIT B
01319,B02,LAVENDER STN EXIT A / ICA
95909,B10,Aft Somapah Rd
95901,B09,Bef Simei Rd
96449,B02,SUTD
96441,B01,OPP SUTD
96041,B10A,Upp Changi Stn/opp SUTD
96049,B05,Upp Changi Stn/SUTD
20139,B16,OPP ANGLISS BLDG
20131,B15,S'PORE FOOD INDUSTRIES BLDG
65191,B01,BEF PUNGGOL RD
59319,B25,BLK 729
43771,B10,OPP BLK 433B
43779,B09,BLK 433C
45131,B31,OPP KRANJI STN
45139,B30,KRANJI STN
44339,B02,BLK 442D
43061,B15,HILLVIEW STN
67381,B13,BLK 326 CP
67389,B14,BLK 317B
67391,B11,BLK 333B
67399,B12,BLK 325 CP
67421,B01,CHENG LIM STN EXIT B
64729,B02,CHENG LIM STN EXIT A
64301,B04,BLK 325
64309,B03,OPP BLK 321
44049,B02,OPP JUNCTION 10
77291,B01,BLK 753
92219,B03,OPP CHIJ KATONG CONVENT
92229,B01,BLK 53
59711,B04A,BLK 672C
59719,B03A,OPP BLK 672C
28029,B02,8 @ TRADEHUB 21
17179,B16,CLEMENTI STN
77129,B04,PASIR RIS PK
96051,B11,Opp Changi Ct
96059,B12,Changi Ct
17259,B04,OPP BLK 460
67701,B01,AFT BLK 467B
17251,B03,BLK 460
84571,B04,OPP BLK 55
96389,B01A,OPP CHANGI CITY PT
75411,B09,BEF TAMPINES FIRE STN
75419,B10,AFT TAMPINES AVE 5
75401,B11,AFT TAMPINES AVE 1
75409,B12,THE SONTORINI
75469,B01,OPP REEBONZ BLDG
75461,B02,REEBONZ BLDG
96419,UNK,EIGHTRIUM
01113,B09,BUGIS STN EXIT B
01059,B08,BUGIS STN EXIT A
65561,UNK,WATERWAY PRI SCH
65569,UNK,OPP WATERWAY PRI SCH
67641,UNK,BER ANCHORVALE ST
67649,UNK,AFT ANCHORVALE ST
65549,B02,AFT SUMANG LANE
65541,B01,BEF SUMANG LANE
67691,UNK,BLK 338A
67699,UNK,BLK 334A
67761,B02A,OPP BLK 326D
22141,B01A,AFT JLN BUROH
22149,B02A,BEF JLN BUROH
65491,B02,OPP BLK 259 CP
46321,B06,W'LANDS CIVIC CTR
46281,B08,BLK 825
46289,B07,BLK 891C CP
71171,B03,OPP SCDF HQ
34009,B01A,POLICE COAST GUARD
71179,B02,AFT SCDF HQ
54511,B01,BLK 5028
54519,B02,OPP BLK 5023
91091,B08,BEF KG KAYU RD
22561,B32,BLK 660 CP
43961,UNK,AFT DAIRY FARM HTS
44009,INT,CHOA CHU KANG INT
75369,B02,BEF TAMPINES LK
41021,B21A,BOTANIC GDNS STN
92071,B07,OPP BLK 57
92221,B02,BLK 19
