"BUS_STOP_N,C,65","BUS_ROOF_N,C,10","LOC_DESC,C,254"
21559,B04,CISCO RECALL
53159,B11,BLK 260
53019,B02,OPP ST. THERESA'S HOME
84701,B07,BLK 151
64579,B04,BET BLKS 544/546
47039,B23,AFT VIEW RD
53079,B14,FLAME TREE PK
28091,B23,LAKESIDE STN
80071,B05,YI XIU FTY BLDG
16181,B04,CTRL LIB
26069,B11,AFT TUAS AVE 16
59251,B15,OPP DARUL MAKMUR MQUE
58289,B04,OPP SEMBAWANG SEC SCH
19021,B05,SP SMA
84431,B10,BLK 3014
63091,B12,OPP BLK 106
46079,B05,OPP BLK 137
57081,B13,OPP BLK 713
48029,B19,BEF MANDAI LAKE RD
45329,B08,OPP YEW TEE STN
03411,B04,OPP MARINA STH PIER
44191,B01,OPP BLK 171
25399,B09,AFT PIONEER RD
54109,B04,BEF ANG MO KIO AVE 10
18129,B07,AYER RAJAH IND EST
31039,B05,OPP CIVIL DEFENCE ACAD
46449,B04,BLK 875
60039,B06,OPP BLK 66
43731,B02,OPP BLK 217
28621,B07,BLK 241
55349,B02,THOMSON GR
76191,B03,BLK 401
67449,B03,BLK 323B
96271,B03,OPP GLOBAL LOGISTICS CTR
83099,B14,AFT PERPETUAL SUCCOUR CH
77199,B14,OPP BLK 500A
64229,B10,BEF DEFU AVE 2
17389,B04A,OPP WEST BAY RESORT CONDO
53089,B16,FABER GDN
44219,B04,BET BLKS 139/140
84619,B20,WATERFRONT ISLE
97101,B39,BEF JLN MARIAM
46589,B07,BLK 146
43511,B07,BT BATOK SWIM CPLX
59541,B06,OPP KHATIB CAMP
24249,B06,ASIATIC AGRICULTURAL IND
66021,B07,NEW TECH PK
71089,B03,OPP EUNOS TECHNOLINK
21079,B16,OPP JURONG ABATTOIR
20129,B26,BET BLKS 50/51
75061,B25,OPP BEDOK REFORM TRG CTR
22401,B07,AFT SHIPYARD RD
64521,B01A,BLK 834
50169,NIL,AFT IRRAWADDY RD
22399,B08,Aft Jln Buroh
59411,B06,BLK 356
43739,B01,BLK 217
93171,B15,OPP CP D3
25499,B06,SUPER CONTINENTAL
47069,B17,NORTHTECH
15219,B12,PASIR VIEW PK
11119,B06,FARRER RD STN EXIT A
01039,B09,BUGIS CUBE
92081,B09,ST. PATRICK'S SCH
80011,B03,AFT PADANG JERINGAU
44589,B03,OPP BLK 489A
84661,B03,BLK 172
43681,B07,BT BATOK HME FOR THE AGED
44581,B04,BLK 489A
52089,B03,OPP BLK 195
08057,B04,DHOBY GHAUT STN
46499,B08,OPP BLK 402
28121,B03,OPP TRACK 18
64059,B34,BLK 355
47079,B15,OPP BRITISH AMERICAN TOBACCO
53061,B09,BEF WINDSOR PK RD
83191,B08,BEF FRANKEL DR
93051,B11,AFT DUNBAR WK
46631,B04A,W'LANDS STN EXIT 5
99101,B04,GOVT CHALETS
60121,B11,BOON KENG STN / BLK 102
60031,B05,BEF GEYLANG BAHRU STN
46639,B03A,W'LANDS STN EXIT 4
59389,B11,OPP BLK 314
68209,B09,OPP SELETAR CAMP
81051,B13,SIMS VILLE
66589,B01,BUANGKOK SPORTS PK
78109,B12,DOWNTOWN EAST
65551,B11,BLK 227A
44129,B01,OPP BLK 113
64399,B03,BLK 512
16011,B17,OPP HAW PAR VILLA STN
23381,B01A,PLANT ENGRG
24089,B01,AFT GUL AVE
29039,B03,BEF PENJURU WK
19061,B08,AYER RAJAH TELECOMS
67309,B02,OPP BLK 305 CP
28461,B07,BLK 347
68139,B10,YOUTH FLYING CLUB
01019,B04,BRAS BASAH CPLX
43679,B07,BLK 402
23189,B09,BEF FIRST LOK YANG RD
46139,B04,AFT RIVERSIDE RD
03239,B02,SHENTON WAY TER
21099,B01,JURONG ISLAND CHECKPT
93071,B01,CRESCENDO BLDG
46041,B37,OPP GLOBALFOUNDRIES
13199,B02,AFT ORCHARD BLVD
59379,B03,OPP CHUNG CHENG HIGH SCH
20011,B16,BLK 506
66071,B04,OPP PUB RECREATION CLUB
52271,B05,JACKSON SQ
05519,B01,OPP MARITIME HSE
52281,B01,BLK 68
20121,B21,OPP BLK 51
10231,B05,BLK 51 CP
59439,B03,BLK 858
31089,B12,HQ 5TH SIB CAMP I
84159,B03,OPP CASAFINA / TEMASEK JC
84411,B02,BLK 526
58221,B02A,BLK 339 CP
22479,B02,AFT JURONG WEST ST 93
05269,B07,MAXWELL RD FC
46731,B02,YEW HUAT SCAFFOLDING  WORK
95089,B03,OPP CHANGI BEACH CP 5
65311,NIL,OASIS STN EXIT B / BLK 617D
